	Microhabitat	Genotype	LibraryID	Dryweight	Soil	Treatment	Description
Hv901	Rhizosphere	North	JH02	0.22	Native	N100	North.100
Hv902	Rhizosphere	North	JH02	0.23	Native	N100	North.100
Hv903	Rhizosphere	North	JH02	0.07	Native	N100	North.100
Hv905	Rhizosphere	Desert	JH02	0.3	Native	N100	Desert.100
Hv906	Rhizosphere	Morex	JH02	0.49	Native	N100	Modern.100
Hv908	Rhizosphere	Desert	JH02	0.34	Native	N100	Desert.100
Hv910	Rhizosphere	Desert	JH02	0.15	Native	N100	Desert.100
Hv911	Bulk	Quarryfield	JH02	NA	Native	N100	Bulk.100
Hv912	Rhizosphere	North	JH02	0.13	Native	N100	North.100
Hv913	Bulk	Quarryfield	JH02	NA	Native	N100	Bulk.100
Hv914	Rhizosphere	Desert	JH02	0.49	Native	N100	Desert.100
Hv917	Bulk	Quarryfield	JH02	NA	Native	N100	Bulk.100
Hv918	Bulk	Quarryfield	JH02	NA	Native	N100	Bulk.100
Hv919	Rhizosphere	Morex	JH02	0.39	Native	N100	Modern.100
Hv920	Rhizosphere	Morex	JH02	0.5	Native	N100	Modern.100
Hv922	Bulk	Quarryfield	JH02	NA	Native	N25	Bulk.25
Hv923	Rhizosphere	Morex	JH02	0.32	Native	N25	Modern.25
Hv924	Rhizosphere	Morex	JH02	0.32	Native	N25	Modern.25
Hv925	Rhizosphere	Desert	JH02	0.17	Native	N25	Desert.25
Hv926	Bulk	Quarryfield	JH02	NA	Native	N25	Bulk.25
Hv927	Rhizosphere	Desert	JH02	0.13	Native	N25	Desert.25
Hv930	Rhizosphere	Desert	JH02	0.15	Native	N25	Desert.25
Hv933	Rhizosphere	Morex	JH02	0.23	Native	N25	Modern.25
Hv934	Rhizosphere	North	JH02	0.11	Native	N25	North.25
Hv935	Bulk	Quarryfield	JH02	NA	Native	N25	Bulk.25
Hv936	Rhizosphere	North	JH02	0.09	Native	N25	North.25
Hv938	Rhizosphere	Desert	JH02	0.25	Native	N25	Desert.25
Hv939	Bulk	Quarryfield	JH02	NA	Native	N25	Bulk.25
Hv940	Rhizosphere	Morex	JH02	0.38	Native	N25	Modern.25
Hv941	Rhizosphere	North	JH02	0.06	Native	N0	North.0
Hv942	Rhizosphere	North	JH02	0.05	Native	N0	North.0
Hv945	Rhizosphere	Morex	JH02	0.21	Native	N0	Modern.0
Hv947	Bulk	Quarryfield	JH02	NA	Native	N0	Bulk.0
Hv949	Bulk	Quarryfield	JH02	NA	Native	N0	Bulk.0
Hv950	Rhizosphere	Morex	JH02	0.18	Native	N0	Modern.0
Hv952	Rhizosphere	Desert	JH02	0.15	Native	N0	Desert.0
Hv953	Rhizosphere	Morex	JH02	0.18	Native	N0	Modern.0
Hv954	Bulk	Quarryfield	JH02	NA	Native	N0	Bulk.0
Hv955	Rhizosphere	Morex	JH02	0.14	Native	N0	Modern.0
Hv957	Rhizosphere	North	JH02	0.09	Native	N0	North.0
Hv958	Bulk	Quarryfield	JH02	NA	Native	N0	Bulk.0
Hv959	Rhizosphere	Desert	JH02	0.21	Native	N0	Desert.0
Hv960	Rhizosphere	Desert	JH02	0.19	Native	N0	Desert.0
Hv961	Bulk	Quarryfield	JH02	NA	Native	Agar	Bulk.Agar
Hv962	Bulk	Quarryfield	JH02	NA	Native	Agar	Bulk.Agar
Hv963	Rhizosphere	Desert	JH02	0.14	Native	N100	Desert.100
Hv964	Rhizosphere	Desert	JH02	0.13	Native	N25	Desert.25
Hv965	Rhizosphere	North	JH02	0.07	Native	N25	North.25
Hv966	Rhizosphere	Desert	JH02	0.09	Native	N0	Desert.0
Hv967	Rhizosphere	Desert	JH02	0.1	Native	N0	Desert.0
AC01	Rhizosphere	Morex	JH16	0.27	Morex.C	Autoclaved	Modern.A
AC02	Rhizosphere	Morex	JH16	0.26	Morex.C	Autoclaved	Modern.A
AC03	Rhizosphere	Morex	JH16	0.2	Morex.C	Autoclaved	Modern.A
AC04	Rhizosphere	Morex	JH16	0.07	Morex.C	Autoclaved	Modern.A
AC05	Rhizosphere	Morex	JH16	0.16	Morex.C	Autoclaved	Modern.A
AC06	Rhizosphere	Morex	JH16	0.22	B1K.C 	Autoclaved	B1K.A
AC07	Rhizosphere	Morex	JH16	0.2	B1K.C 	Autoclaved	B1K.A
AC08	Rhizosphere	Morex	JH16	0.17	B1K.C 	Autoclaved	B1K.A
AC09	Rhizosphere	Morex	JH16	0.24	B1K.C 	Autoclaved	B1K.A
AC10	Rhizosphere	Morex	JH16	0.1	B1K.C 	Autoclaved	B1K.A
AC13	Bulk	Morex	JH16	NA	Morex.C	Native	Modern.B
AC14	Bulk	Morex	JH16	NA	Morex.C	Native	Modern.B
AC15	Rhizosphere	Morex	JH16	0.24	Morex.C	Native	Modern.N
AC16	Rhizosphere	Morex	JH16	0.32	Morex.C	Native	Modern.N
AC17	Rhizosphere	Morex	JH16	0.15	Morex.C	Native	Modern.N
AC18	Rhizosphere	Morex	JH16	0.09	B1K.C 	Native	B1K.N
AC19	Rhizosphere	Morex	JH16	0.16	B1K.C 	Native	B1K.N
AC20	Rhizosphere	Morex	JH16	0.27	B1K.C 	Native	B1K.N
AC21	Bulk	Morex	JH16	NA	B1K.C 	Native	B1K.B
AC22	Bulk	Morex	JH16	NA	B1K.C 	Native	B1K.B
AC23	Rhizosphere	Morex	JH16	0.22	B1K.C 	Native	B1K.N
AC24	Rhizosphere	Morex	JH16	0.39	B1K.C 	Native	B1K.N
AC25	Rhizosphere	Morex	JH16	0.18	Morex.C	Autoclaved	Modern.A
AC26	Rhizosphere	Morex	JH16	0.2	Morex.C	Autoclaved	Modern.A
AC27	Rhizosphere	Morex	JH16	0.18	Morex.C	Autoclaved	Modern.A
AC28	Rhizosphere	Morex	JH16	0.11	Morex.C	Autoclaved	Modern.A
AC29	Rhizosphere	Morex	JH16	0.11	Morex.C	Autoclaved	Modern.A
AC30	Rhizosphere	Morex	JH16	0.02	B1K.C 	Autoclaved	B1K.A
AC31	Rhizosphere	Morex	JH16	0.08	B1K.C 	Autoclaved	B1K.A
AC32	Rhizosphere	Morex	JH16	0.02	B1K.C 	Autoclaved	B1K.A
AC33	Rhizosphere	Morex	JH16	0.11	B1K.C 	Autoclaved	B1K.A
AC34	Rhizosphere	Morex	JH16	0.05	B1K.C 	Autoclaved	B1K.A
AC35	Rhizosphere	Morex	JH16	0.4	Morex.C	Native	Modern.N
AC36	Rhizosphere	Morex	JH16	0.2	Morex.C	Native	Modern.N
AC37	Rhizosphere	Morex	JH16	0.31	Morex.C	Native	Modern.N
AC38	Rhizosphere	Morex	JH16	0.33	Morex.C	Native	Modern.N
AC39	Rhizosphere	Morex	JH16	0.24	Morex.C	Native	Modern.N
AC40	Rhizosphere	Morex	JH16	0.35	B1K.C 	Native	B1K.N
AC41	Rhizosphere	Morex	JH16	0.3	B1K.C 	Native	B1K.N
AC42	Bulk	Morex	JH16	NA	B1K.C 	Native	B1K.B
AC43	Bulk	Morex	JH16	NA	B1K.C 	Native	B1K.B
AC44	Rhizosphere	Morex	JH16	0.22	B1K.C 	Native	B1K.N
AC45	Rhizosphere	Morex	JH16	0.19	B1K.C 	Native	B1K.N
AC46	Bulk	Morex	JH16	NA	B1K.C 	Native	B1K.B
AC47	Bulk	Morex	JH16	NA	B1K.C 	Native	B1K.B
