Sample	CT_bacterial	Bacterial (fg)	Concentration_bacterial (fg/ul)	Log_bacterial	CT_fungal	Concentration_fungal (fg)	Concentration_fungal (fg/ul)	16S copy numbers	Log_16S_copy	Log_Fungal	ITS copy numbers	Log_ITS_copy	Bacterial_ratio	Fungal_ratio
Heat_desert	11.09051037	12825834.07	6412917.034	22.61254931	27.58882141	225.5696695	112.7848347	17956167.7	24.09797614	6.817429283	17.27721559	4.110798825	3.020500532	0.331070956
Heat_desert	16.23665428	1456405.923	728202.9613	19.47398108	21.21406174	13465.69673	6732.848366	2038968.292	20.95940791	12.71700126	1031.387536	10.0103708	1.492598907	0.669972352
Heat_desert	16.72957039	1207045.574	603522.787	19.20304872	23.9489975	1698.382014	849.1910071	1689863.804	20.68847555	9.729945283	130.0853625	7.023314825	1.882865959	0.531105252
Heat_desert	17.01893997	1060656.972	530328.4858	19.01652672	22.93848419	3527.841361	1763.92068	1484919.76	20.50195354	10.78456997	270.2104228	8.077939515	1.69853688	0.588742
Heat_desert	17.52531052	804490.1845	402245.0923	18.61771529	26.19838524	788.1934688	394.0967344	1126286.258	20.10314212	8.622405985	60.37065409	5.915775527	2.038753647	0.49049575
Heat_desert	17.83045006	650123.749	325061.8745	18.31035483	25.64689255	1011.348562	505.6742808	910173.2487	19.79578166	8.982064593	77.46292833	6.275434135	1.934505097	0.516928077
Heat_desert	17.99352455	567626.3181	283813.1591	18.11458196	22.5872345	5552.095137	2776.047569	794676.8453	19.60000878	11.43881657	425.2555093	8.732186116	1.536688144	0.650750124
Heat_desert	18.01717377	555662.4634	277831.2317	18.08384926	25.21600914	1185.700513	592.8502565	777927.4488	19.56927609	9.211523941	90.81718938	6.504893484	1.868854186	0.535087225
Heat_desert	18.42597771	348853.4519	174426.7259	17.41226158	23.00307274	3155.617238	1577.808619	488394.8326	18.89768841	10.62370651	241.7004	7.917076051	1.58402671	0.631302486
Heat_desert	18.47362328	324750.1299	162375.0649	17.30897058	27.00252914	462.8060053	231.4030026	454650.1818	18.7943974	7.854263774	35.44802433	5.147633317	2.067813998	0.483602491
Heat_desert	19.00338554	186580.8122	93290.40612	16.5094411	25.11664772	1225.905954	612.952977	261213.1371	17.99486793	9.259632591	93.89667287	6.553002133	1.706634321	0.585948605
Heat_desert	19.00403214	186550.1704	93275.08519	16.50920415	22.49844551	6063.786516	3031.893258	261170.2385	17.99463098	11.56600325	464.4478453	8.859372789	1.393378929	0.717679864
Heat_desert	19.2326107	175717.869	87858.9345	16.42290138	26.61856651	618.172011	309.0860055	258965.5799	17.98240083	8.271864525	47.34808156	5.565234067	1.879115181	0.532165356
Heat_desert	19.75857544	150792.4851	75396.24253	16.20220501	29	120.511782	60.25589099	212893.2507	17.69977069	5.91303039	9.230443276	3.206399932	2.488373989	0.401868853
Heat_modern	16.29682541	1425966.071	712983.0354	19.44350822	23.12215233	2469.360956	1234.680478	1996352.499	20.92893505	10.26992202	189.1374923	7.563291563	1.813988436	0.55127143
Heat_modern	16.66061592	1241928.813	620964.4063	19.24415105	21.29269409	13012.53807	6506.269036	1738700.338	20.72957788	12.66761476	996.6784374	9.960984307	1.481176591	0.675138944
Heat_modern	17.13351822	1002693.21	501346.6051	18.93544883	22.71871376	4794.379475	2397.189737	1403770.494	20.42087565	11.22712839	367.2192632	8.52049793	1.630427701	0.613335997
Heat_modern	17.42969894	852858.9325	426429.4663	18.70194761	23.7251339	1788.965813	894.4829063	1194002.506	20.18737443	9.804910102	137.0235108	7.098279645	1.823425407	0.548418376
Heat_modern	17.76599884	682728.8473	341364.4236	18.38095319	26.58260536	632.7232719	316.361636	955820.3862	19.86638001	8.30543085	48.46261647	5.598800392	2.082757209	0.480132776
Heat_modern	18.38273811	370727.8438	185363.9219	17.50000095	25.61440086	1024.495943	512.2479715	519018.9813	18.98542778	9.000698556	78.46993492	6.294068098	1.849870871	0.540578273
