SampleID	Calcium (ppm)	Magnesium (ppm)	Manganese (ppm)	Boron (ppm)	Copper (ppm)	Iron (ppm)	Zinc (ppm)	Sulphur (ppm)	Phosphorus (ppm)	Potassium (ppm)	Sodium (ppm)	Nitrate N (mg/kg)	Ammonium N (mg/kg)	Org. Matter - DUMAS (%)	pH	Silt (%)	Clay (%)	Sand (%)	C.E.C. (meq/100g)
1.B1K12-sterilised	2005	103	494	1.21	19.1	602	14.2	44	92	61	33	31.1	84	5	6.2	45.7	11.54	42.76	13.4
2.B1K12-sterilised	2116	118	623	1.19	18.4	614	15.7	42	93	69	35	29.1	106.2	4.3	6.3	44.66	12.15	43.19	14.1
3.B1K12-sterilised	1843	94	253	1.09	16.9	497	14	30	84	51	25	27.5	58	5.1	6.1	48.53	11.34	40.13	12.5
4.Morex-sterilised	2031	103	475	1.2	18.3	565	14	45	92	49	28	24.5	83.3	5.1	6.2	45.61	11.73	42.66	13.5
5.Morex-sterilised	1885	101	439	1.08	15.5	584	12.3	44	90	47	28	26.1	98.1	5.1	6.2	48.14	12.12	39.74	12.8
6.Morex-sterilised	2045	100	258	1.14	19.3	453	15.3	29	85	47	27	25.1	60.8	4.8	5.9	46.56	11.94	41.5	14.8
7.B1K12	2185	106	30	1.11	28.8	687	20.8	24	72	58	28	17.7	8.1	5.1	5.9	48.24	11.44	40.32	15.6
8.B1K12	2021	98	20	1.08	26.4	709	21.6	18	73	51	23	13.6	10	4.8	5.8	43	11.4	45.6	14.7
9.B1K12	2048	109	22	1.08	25.7	706	20.9	23	73	56	23	24.8	14.8	5.6	5.8	46.93	11.31	41.76	14.9
10.Morex	1966	100	20	1.08	23.9	719	18.8	23	74	50	24	26.8	8	4.5	5.8	44.14	11.12	44.74	14.4
11.Morex	2019	107	21	1.06	26.2	725	19.5	32	72	50	22	12.9	10.1	5.1	5.8	42.22	11.35	46.43	14.7
12.Morex	2007	100	20	1.07	25	712	19.8	26	74	49	25	61.4	13	5.4	5.7	46.39	11.36	42.25	15.8
